epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6079931855201721,0.4900735318660736,0.08043979108333588,0.0005,0.7090300917625427,0.760765552520752,0.61654132604599,0.5752550959587097,0.06909278780221939,0.6666666865348816,0.8791208863258362
1,0.6394557952880859,0.5779322981834412,0.06799069046974182,0.0005,0.733031690120697,0.7751196026802063,0.6691729426383972,0.6606161594390869,0.06463533639907837,0.6926229596138,0.9285714030265808
2,0.6607142686843872,0.6261733174324036,0.05907624959945679,0.0005,0.7441340684890747,0.7966507077217102,0.7406014800071716,0.7167713642120361,0.06102735549211502,0.7488986849784851,0.9340659379959106
3,0.7023809552192688,0.6760536432266235,0.053252242505550385,0.0005,0.7755101919174194,0.8181818127632141,0.7593985199928284,0.7447344660758972,0.05799466744065285,0.7681818008422852,0.9285714030265808
4,0.694727897644043,0.686817467212677,0.051241930574178696,0.0005,0.7725714445114136,0.8086124658584595,0.7669172883033752,0.7633765339851379,0.055414166301488876,0.7752293348312378,0.9285714030265808
5,0.7159863710403442,0.7127691507339478,0.04834004119038582,0.0005,0.7845804691314697,0.8277512192726135,0.7781955003738403,0.7729918956756592,0.05287757143378258,0.7860465049743652,0.9285714030265808
6,0.7278911471366882,0.7190877199172974,0.046336784958839417,0.0005,0.7986111044883728,0.8253588676452637,0.7706766724586487,0.7844387292861938,0.050573237240314484,0.7867298722267151,0.9120879173278809
7,0.7253401279449463,0.7457588315010071,0.043761398643255234,0.0005,0.8014100790023804,0.8157894611358643,0.7556390762329102,0.7926151156425476,0.04849149286746979,0.7881773114204407,0.8791208863258362
8,0.7389456033706665,0.7489023208618164,0.04350297525525093,0.0005,0.8152562379837036,0.8181818127632141,0.7518796920776367,0.8004971146583557,0.046599119901657104,0.7871286869049072,0.8736263513565063
9,0.7423469424247742,0.7530784010887146,0.04300064221024513,0.0005,0.8176400661468506,0.820574164390564,0.7518796920776367,0.8076595664024353,0.04502365365624428,0.7900000214576721,0.8681318759918213
10,0.7491496801376343,0.7624912261962891,0.04013102129101753,0.0005,0.8171160817146301,0.8337320685386658,0.7593985199928284,0.8124673366546631,0.0432809442281723,0.8072916865348816,0.8516483306884766
11,0.7389456033706665,0.764494776725769,0.04079180583357811,0.0005,0.8093567490577698,0.8277512192726135,0.7669172883033752,0.8179618120193481,0.04188837483525276,0.8191489577293396,0.8461538553237915
12,0.7525510191917419,0.7776350975036621,0.03879309073090553,0.0005,0.8150289058685303,0.8433014154434204,0.7744361162185669,0.8211997151374817,0.040836844593286514,0.8279569745063782,0.8461538553237915
13,0.7431972622871399,0.7862686514854431,0.03714190796017647,0.0005,0.8171021342277527,0.8229665160179138,0.7781955003738403,0.8252878189086914,0.039849065244197845,0.8360655903816223,0.8406593203544617
14,0.7457482814788818,0.7866714000701904,0.03742697834968567,0.0005,0.8246674537658691,0.8157894611358643,0.7819548845291138,0.8261380791664124,0.03904535248875618,0.8406593203544617,0.8406593203544617
15,0.7525510191917419,0.7969550490379333,0.03536762297153473,0.0005,0.8255674839019775,0.8265550136566162,0.7744361162185669,0.8284928798675537,0.03821893408894539,0.8388888835906982,0.8296703100204468
16,0.75,0.7961986660957336,0.03580804541707039,0.0005,0.8218527436256409,0.8277512192726135,0.7744361162185669,0.8318942785263062,0.03757138177752495,0.8465909361839294,0.8186812996864319
17,0.7585033774375916,0.803827702999115,0.03472647815942764,0.0005,0.8374083042144775,0.8193780183792114,0.7781955003738403,0.8322867155075073,0.03706475719809532,0.8514285683631897,0.8186812996864319
18,0.7517006993293762,0.7903374433517456,0.03703570365905762,0.0005,0.8285024166107178,0.820574164390564,0.7706766724586487,0.8320577144622803,0.03664536401629448,0.845714271068573,0.8131868243217468
19,0.7653061151504517,0.8028743267059326,0.03451551869511604,0.0005,0.8325415849685669,0.8385167717933655,0.7706766724586487,0.8312401175498962,0.03641762584447861,0.845714271068573,0.8131868243217468
20,0.7508503198623657,0.7927261590957642,0.036509837955236435,0.0005,0.8220640420913696,0.8289473652839661,0.7706766724586487,0.830553412437439,0.036326225847005844,0.849711000919342,0.807692289352417
21,0.7568027377128601,0.8070908784866333,0.03481070697307587,0.0005,0.8386699557304382,0.8145933151245117,0.7744361162185669,0.8304225206375122,0.03619789332151413,0.8505747318267822,0.8131868243217468
22,0.7661564350128174,0.8177279829978943,0.032386936247348785,0.0005,0.8359281420707703,0.8349282145500183,0.7744361162185669,0.8314691185951233,0.03601224347949028,0.8505747318267822,0.8131868243217468
23,0.7542517185211182,0.8060899972915649,0.03416853025555611,0.0005,0.8291215300559998,0.8241626620292664,0.7706766724586487,0.831501841545105,0.03609010949730873,0.849711000919342,0.807692289352417
24,0.7585033774375916,0.7945978045463562,0.03673694655299187,0.0005,0.826241135597229,0.8361244201660156,0.7706766724586487,0.8315017819404602,0.03617820143699646,0.8538011908531189,0.8021978139877319
