epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5685884952545166,0.6260374784469604,0.5089763402938843,0.0005,0.48571428656578064,0.6507176756858826,0.6842105388641357,0.7800889015197754,0.3737333118915558,0.8712121248245239,0.6318681240081787
1,0.6307157278060913,0.6766866445541382,0.4026762545108795,0.0005,0.5521885752677917,0.5885167717933655,0.6616541147232056,0.783065140247345,0.33118972182273865,0.8650793433189392,0.598901093006134
2,0.6605367660522461,0.7100512981414795,0.3356568515300751,0.0005,0.5952677726745605,0.5717703104019165,0.6691729426383972,0.7929094433784485,0.2927807569503784,0.8560606241226196,0.6208791136741638
3,0.6749503016471863,0.7271888852119446,0.2936992347240448,0.0005,0.625,0.5442583560943604,0.6729323267936707,0.7939560413360596,0.2598695755004883,0.8571428656578064,0.6263736486434937
4,0.6908548474311829,0.743842601776123,0.2534559965133667,0.0005,0.6524216532707214,0.5478469133377075,0.6842105388641357,0.7979133725166321,0.23077639937400818,0.8656716346740723,0.6373626589775085
5,0.7077534794807434,0.7647523283958435,0.22024895250797272,0.0005,0.680232584476471,0.559808611869812,0.6842105388641357,0.8002681732177734,0.2063707709312439,0.8712121248245239,0.6318681240081787
6,0.7142146825790405,0.7678423523902893,0.19675980508327484,0.0005,0.6992366313934326,0.5478469133377075,0.6804511547088623,0.8068746328353882,0.18365627527236938,0.8592592477798462,0.6373626589775085
7,0.7127236723899841,0.7670179605484009,0.1765228807926178,0.0005,0.7028301954269409,0.5346890091896057,0.6804511547088623,0.8085426688194275,0.1653745472431183,0.8646616339683533,0.6318681240081787
8,0.7266401648521423,0.7820662260055542,0.15737362205982208,0.0005,0.739130437374115,0.5287081599235535,0.6842105388641357,0.8133830428123474,0.1499854177236557,0.8769230842590332,0.6263736486434937
9,0.72365802526474,0.7838935256004333,0.14271363615989685,0.0005,0.738095223903656,0.519138753414154,0.6804511547088623,0.8153125643730164,0.13838516175746918,0.8943089246749878,0.6043956279754639
10,0.7326043844223022,0.7981729507446289,0.13005034625530243,0.0005,0.7632508873939514,0.5167464017868042,0.6842105388641357,0.8180599212646484,0.12787657976150513,0.9016393423080444,0.6043956279754639
11,0.7465208768844604,0.8168498873710632,0.1182970479130745,0.0005,0.7963636517524719,0.5239234566688538,0.6954887509346008,0.8199895024299622,0.11894386261701584,0.9039999842643738,0.6208791136741638
12,0.7340954542160034,0.8107286095619202,0.11094608157873154,0.0005,0.7654321193695068,0.519138753414154,0.6917293071746826,0.8243393301963806,0.11163441836833954,0.9032257795333862,0.6153846383094788
13,0.7450298070907593,0.8147651553153992,0.10325232893228531,0.0005,0.813592255115509,0.5011961460113525,0.6917293071746826,0.82293301820755,0.10562168061733246,0.9032257795333862,0.6153846383094788
14,0.7544731497764587,0.8197969794273376,0.09677539765834808,0.0005,0.8263359069824219,0.5179426074028015,0.6954887509346008,0.8258765339851379,0.09993230551481247,0.8914728760719299,0.6318681240081787
15,0.7564612030982971,0.823752760887146,0.0921773687005043,0.0005,0.8239700198173523,0.5263158082962036,0.6954887509346008,0.8247644901275635,0.09575365483760834,0.8914728760719299,0.6318681240081787
16,0.7524850964546204,0.8190500140190125,0.08818650990724564,0.0005,0.8200757503509521,0.5179426074028015,0.6917293071746826,0.8295722007751465,0.09200506657361984,0.89682537317276,0.6208791136741638
17,0.7579522728919983,0.8322185277938843,0.08331259340047836,0.0005,0.820183515548706,0.5346890091896057,0.6954887509346008,0.8292778730392456,0.08937263488769531,0.8976377844810486,0.6263736486434937
18,0.7609344124794006,0.8385213017463684,0.07967225462198257,0.0005,0.8244972825050354,0.5394737124443054,0.6954887509346008,0.8307823538780212,0.0871288999915123,0.8976377844810486,0.6263736486434937
19,0.7594433426856995,0.8300861120223999,0.07888834178447723,0.0005,0.8247232437133789,0.5346890091896057,0.6954887509346008,0.8317961692810059,0.08539984375238419,0.8976377844810486,0.6263736486434937
20,0.7524850964546204,0.8336791396141052,0.07626090943813324,0.0005,0.8212927579879761,0.5167464017868042,0.6992481350898743,0.8333660364151001,0.08298657834529877,0.8984375,0.6318681240081787
21,0.7599403858184814,0.831943929195404,0.07436351478099823,0.0005,0.8400770425796509,0.5215311050415039,0.6917293071746826,0.8331698775291443,0.08217617124319077,0.9032257795333862,0.6153846383094788
22,0.7619284391403198,0.8339777588844299,0.07302731275558472,0.0005,0.8348968029022217,0.5322966575622559,0.6842105388641357,0.834870457649231,0.0809580609202385,0.9016393423080444,0.6043956279754639
23,0.763419508934021,0.8381220698356628,0.07113146036863327,0.0005,0.8345724940299988,0.5370813608169556,0.6954887509346008,0.8359825015068054,0.07959175109863281,0.9105691313743591,0.6153846383094788
24,0.762425422668457,0.8312669992446899,0.07078301161527634,0.0005,0.8314814567565918,0.5370813608169556,0.7030075192451477,0.8366693258285522,0.07856623083353043,0.9186992049217224,0.6208791136741638
25,0.762425422668457,0.8367265462875366,0.06954307109117508,0.0005,0.8196428418159485,0.5490430593490601,0.7030075192451477,0.8366366028785706,0.07815422117710114,0.9055117964744568,0.6318681240081787
26,0.7659045457839966,0.8385604619979858,0.0682416558265686,0.0005,0.8348624110221863,0.5442583560943604,0.7030075192451477,0.8372252583503723,0.07782728224992752,0.9120000004768372,0.6263736486434937
27,0.7649105191230774,0.8313484191894531,0.06908293813467026,0.0005,0.8246869444847107,0.5514354109764099,0.7105262875556946,0.8376177549362183,0.07669243216514587,0.9200000166893005,0.6318681240081787
28,0.7733598351478577,0.8438084721565247,0.06698230654001236,0.0005,0.8558052182197571,0.5466507077217102,0.7067669034004211,0.8383045196533203,0.07649245858192444,0.9262295365333557,0.6208791136741638
29,0.7654075622558594,0.8384043574333191,0.06658358126878738,0.0005,0.8357933759689331,0.5418660044670105,0.7067669034004211,0.8396127223968506,0.07626596838235855,0.9193548560142517,0.6263736486434937
30,0.7828031778335571,0.8565798401832581,0.06438896059989929,0.0005,0.8633880019187927,0.5669856667518616,0.7105262875556946,0.8405612111091614,0.07623349875211716,0.9200000166893005,0.6318681240081787
31,0.7698807120323181,0.8353341221809387,0.0661458745598793,0.0005,0.8360360264778137,0.5550239086151123,0.7105262875556946,0.839776337146759,0.07385296374559402,0.9200000166893005,0.6318681240081787
32,0.7803180813789368,0.8526363372802734,0.06388665735721588,0.0005,0.8555956482887268,0.5669856667518616,0.7067669034004211,0.838337242603302,0.07586188614368439,0.9193548560142517,0.6263736486434937
33,0.7778329849243164,0.8526134490966797,0.06372717767953873,0.0005,0.8479427695274353,0.5669856667518616,0.7105262875556946,0.8431122303009033,0.07485054433345795,0.913385808467865,0.6373626589775085
34,0.7748509049415588,0.8519380688667297,0.06357831507921219,0.0005,0.8438060879707336,0.5622009634971619,0.7067669034004211,0.8427525162696838,0.0748809203505516,0.9126983880996704,0.6318681240081787
35,0.7728628516197205,0.8550434112548828,0.06320872157812119,0.0005,0.8414414525032043,0.5586124658584595,0.7067669034004211,0.8423600196838379,0.07513342797756195,0.9126983880996704,0.6318681240081787
36,0.7852882742881775,0.8432597517967224,0.06353539973497391,0.0005,0.8633093237876892,0.5741626620292664,0.7067669034004211,0.8449110388755798,0.07358739525079727,0.9193548560142517,0.6263736486434937
37,0.794234573841095,0.8597208857536316,0.061709214001894,0.0005,0.8727915287017822,0.5909090638160706,0.7180451154708862,0.8439298868179321,0.07415160536766052,0.9212598204612732,0.6428571343421936
38,0.7837972044944763,0.8533133268356323,0.06224701181054115,0.0005,0.8523725867271423,0.5801435112953186,0.6992481350898743,0.8445512056350708,0.07425687462091446,0.9112903475761414,0.6208791136741638
39,0.7962226867675781,0.8637945652008057,0.06090885028243065,0.0005,0.8622449040412903,0.6064593195915222,0.7067669034004211,0.8421310782432556,0.07494741678237915,0.9193548560142517,0.6263736486434937
