epoch,accuracy,auc_pr,auc_roc,f1_score,loss,precision,recall,val_accuracy,val_auc_pr,val_auc_roc,val_f1_score,val_loss,val_precision,val_recall
0,0.8937157988548279,0.9616804718971252,0.96103435754776,0.8937157392501831,0.08420336246490479,0.8937157988548279,0.8937157988548279,0.9512779712677002,0.9919183850288391,0.991849422454834,0.9512779116630554,0.05454554408788681,0.9512779712677002,0.9512779712677002
1,0.9541837573051453,0.9907505512237549,0.990947425365448,0.9541836977005005,0.04833455756306648,0.9541837573051453,0.9541837573051453,0.9644568562507629,0.9880232214927673,0.9882237315177917,0.9644567966461182,0.05709050968289375,0.9644568562507629,0.9644568562507629
2,0.959060549736023,0.9933668971061707,0.9934893846511841,0.9590604901313782,0.041341282427310944,0.959060549736023,0.959060549736023,0.960463285446167,0.9886184930801392,0.9906124472618103,0.9604632258415222,0.04549470171332359,0.960463285446167,0.960463285446167
3,0.9642367959022522,0.9947048425674438,0.99478679895401,0.9642367362976074,0.036120183765888214,0.9642367959022522,0.9642367959022522,0.9552715420722961,0.9893496036529541,0.9892436265945435,0.9552714824676514,0.04517783597111702,0.9552715420722961,0.9552715420722961
4,0.9657768607139587,0.9950730800628662,0.9951510429382324,0.965776801109314,0.03294950723648071,0.9657768607139587,0.9657768607139587,0.9494808316230774,0.9891557693481445,0.9896358847618103,0.9494807720184326,0.05146320164203644,0.9494808316230774,0.9494808316230774
5,0.9661832451820374,0.995227575302124,0.9953524470329285,0.9661831855773926,0.03041612170636654,0.9661832451820374,0.9661832451820374,0.9655551314353943,0.9956260323524475,0.9956848621368408,0.9655550718307495,0.029559044167399406,0.9655551314353943,0.9655551314353943
6,0.9685574769973755,0.9959402084350586,0.9960461258888245,0.9685573577880859,0.0266417209059,0.9685574769973755,0.9685574769973755,0.9559704661369324,0.9933738708496094,0.9938046932220459,0.9559704065322876,0.031827088445425034,0.9559704661369324,0.9559704661369324
7,0.9701403379440308,0.9965523481369019,0.9965778589248657,0.970140278339386,0.02376382239162922,0.9701403379440308,0.9701403379440308,0.9746405482292175,0.9969533681869507,0.9969279170036316,0.9746404886245728,0.02258061058819294,0.9746405482292175,0.9746405482292175
8,0.9722364544868469,0.9968463778495789,0.9968670606613159,0.9722363948822021,0.021831028163433075,0.9722364544868469,0.9722364544868469,0.9606629610061646,0.9930248856544495,0.993293046951294,0.9606629014015198,0.036125026643276215,0.9606629610061646,0.9606629610061646
9,0.97230064868927,0.996882975101471,0.9969637393951416,0.9723005890846252,0.02094472385942936,0.97230064868927,0.97230064868927,0.9700479507446289,0.9961466193199158,0.9960851669311523,0.9700478911399841,0.02339615486562252,0.9700479507446289,0.9700479507446289
10,0.9741829037666321,0.9973775148391724,0.9973705410957336,0.9741828441619873,0.019278952851891518,0.9741829037666321,0.9741829037666321,0.9512779712677002,0.9921265244483948,0.9920140504837036,0.9512779116630554,0.03978054225444794,0.9512779712677002,0.9512779712677002
11,0.9742256999015808,0.9974545240402222,0.9974547028541565,0.974225640296936,0.018727686256170273,0.9742256999015808,0.9742256999015808,0.9614616632461548,0.9939972162246704,0.9938826560974121,0.96146160364151,0.030218465253710747,0.9614616632461548,0.9614616632461548
12,0.9752523899078369,0.9977476596832275,0.9977303743362427,0.9752523303031921,0.01759800873696804,0.9752523899078369,0.9752523899078369,0.9749401211738586,0.9977350831031799,0.9976887702941895,0.9749400615692139,0.01819579117000103,0.9749401211738586,0.9749401211738586
13,0.9760865569114685,0.9976882934570312,0.9977721571922302,0.9760864973068237,0.01728668250143528,0.9760865569114685,0.9760865569114685,0.9750399589538574,0.9979660511016846,0.9979338049888611,0.9750398993492126,0.016985684633255005,0.9750399589538574,0.9750399589538574
14,0.9770063161849976,0.9979224801063538,0.9979172348976135,0.9770062565803528,0.016691287979483604,0.9770063161849976,0.9770063161849976,0.9673522114753723,0.9964308142662048,0.9963423609733582,0.9673521518707275,0.02541065588593483,0.9673522114753723,0.9673522114753723
15,0.9783110618591309,0.9981511831283569,0.9981305599212646,0.9783110022544861,0.015934381633996964,0.9783110618591309,0.9783110618591309,0.9734424948692322,0.9974191188812256,0.9975236058235168,0.9734424352645874,0.018105996772646904,0.9734424948692322,0.9734424948692322
16,0.9772843718528748,0.998131275177002,0.9981132745742798,0.97728431224823,0.015941383317112923,0.9772843718528748,0.9772843718528748,0.9813298583030701,0.9985601902008057,0.9985543489456177,0.9813297986984253,0.014077193103730679,0.9813298583030701,0.9813298583030701
17,0.9778832793235779,0.9981368780136108,0.9981741309165955,0.9778832197189331,0.01559712365269661,0.9778832793235779,0.9778832793235779,0.9753394722938538,0.9980441331863403,0.9980122447013855,0.975339412689209,0.016508515924215317,0.9753394722938538,0.9753394722938538
18,0.9772202372550964,0.9981967210769653,0.9981967210769653,0.9772201776504517,0.015502270311117172,0.9772202372550964,0.9772202372550964,0.9808306694030762,0.9983355402946472,0.9984121322631836,0.9808306097984314,0.014610945247113705,0.9808306694030762,0.9808306694030762
