epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,0.33068418502807617,0.001,0.6617441773414612,0.9385882019996643,0.32527586817741394,0.6595284342765808,0.91363126039505
1,0.24791114032268524,0.001,0.5493621826171875,0.8135017156600952,0.27974584698677063,0.6028611063957214,0.8477078676223755
2,0.2330998033285141,0.001,0.5271254181861877,0.7907456755638123,0.25236275792121887,0.5630890130996704,0.8115028738975525
3,0.22248342633247375,0.001,0.508210301399231,0.7749254107475281,0.2114015370607376,0.4966522455215454,0.7538901567459106
4,0.21526800096035004,0.001,0.49552837014198303,0.7643974423408508,0.19409319758415222,0.46266627311706543,0.7306733727455139
5,0.20884573459625244,0.001,0.4866889417171478,0.7557021975517273,0.18639975786209106,0.4411151111125946,0.7207770347595215
6,0.20740631222724915,0.001,0.48687875270843506,0.7516605257987976,0.17889666557312012,0.4246874749660492,0.7084316611289978
7,0.20358431339263916,0.001,0.478291779756546,0.7454305291175842,0.1738487035036087,0.4126830995082855,0.699883759021759
8,0.19971969723701477,0.001,0.47260668873786926,0.7388051152229309,0.1737498939037323,0.4096185863018036,0.7001418471336365
9,0.19585464894771576,0.001,0.46486976742744446,0.7324703335762024,0.17646580934524536,0.41888612508773804,0.7093677520751953
10,0.1940934956073761,0.001,0.46186694502830505,0.7299396991729736,0.17240537703037262,0.40926414728164673,0.7010124325752258
11,0.1892375946044922,0.001,0.4536909759044647,0.7215368151664734,0.1741260290145874,0.4120648205280304,0.7044796347618103
12,0.1892843395471573,0.001,0.4552780091762543,0.7232420444488525,0.17328369617462158,0.4109250605106354,0.700154721736908
13,0.1902266889810562,0.001,0.45523929595947266,0.7236306667327881,0.1730026751756668,0.40864357352256775,0.702377200126648
14,0.1855594962835312,0.001,0.4483075737953186,0.7152071595191956,0.16993476450443268,0.40354418754577637,0.6963047385215759
15,0.18508797883987427,0.001,0.4460585415363312,0.7156756520271301,0.16737675666809082,0.4000582695007324,0.6917428970336914
16,0.18350236117839813,0.001,0.4433057904243469,0.7127445936203003,0.1682290881872177,0.3994346857070923,0.6940396428108215
17,0.18203607201576233,0.001,0.44067806005477905,0.7120175957679749,0.16864098608493805,0.3995922803878784,0.6939282417297363
18,0.17862728238105774,0.001,0.43553271889686584,0.702767014503479,0.1661410927772522,0.3956678807735443,0.6868844628334045
19,0.17864066362380981,0.001,0.4361337423324585,0.7041746973991394,0.16756461560726166,0.3983275294303894,0.6919124722480774
20,0.17829370498657227,0.001,0.4354668855667114,0.702082097530365,0.16790857911109924,0.39561864733695984,0.6924402117729187
21,0.17636820673942566,0.001,0.4317944049835205,0.6986943483352661,0.16703371703624725,0.3953605592250824,0.6895789504051208
22,0.17534729838371277,0.001,0.43023765087127686,0.696713924407959,0.16639304161071777,0.3953961133956909,0.690212607383728
23,0.1731341928243637,0.001,0.4262644052505493,0.6924344301223755,0.1680660992860794,0.3980650007724762,0.6922268867492676
24,0.17784425616264343,0.001,0.43692415952682495,0.6998195052146912,0.1661449670791626,0.3967016041278839,0.6881359219551086
25,0.17234916985034943,0.001,0.4253339171409607,0.6901599168777466,0.16383881866931915,0.392410010099411,0.6814587116241455
26,0.17160747945308685,0.001,0.4249010980129242,0.6869034767150879,0.16852033138275146,0.3999742865562439,0.6903343200683594
27,0.17066001892089844,0.001,0.4232901930809021,0.6842350959777832,0.16607245802879333,0.39502057433128357,0.686318576335907
28,0.16855144500732422,0.001,0.4178324341773987,0.6821355223655701,0.16712293028831482,0.39747318625450134,0.6859297752380371
29,0.16561384499073029,0.001,0.4141872525215149,0.6737213730812073,0.16281743347644806,0.387990266084671,0.67567378282547
30,0.16742964088916779,0.001,0.41905519366264343,0.6739532351493835,0.16371378302574158,0.3894098997116089,0.6754859685897827
31,0.1672072410583496,0.001,0.4190221130847931,0.6729723811149597,0.16156621277332306,0.38505443930625916,0.669838011264801
32,0.16502691805362701,0.001,0.41634419560432434,0.6657347679138184,0.16372708976268768,0.39255622029304504,0.6717357039451599
33,0.16203400492668152,0.001,0.40994104743003845,0.6569257974624634,0.16161125898361206,0.3891191780567169,0.6633971929550171
34,0.1614697277545929,0.001,0.4103904366493225,0.6560018658638,0.16361282765865326,0.3941138684749603,0.665023684501648
35,0.15936048328876495,0.001,0.4071047306060791,0.648347795009613,0.16495603322982788,0.3972022533416748,0.6648870706558228
36,0.1583128571510315,0.001,0.4078845679759979,0.6420727968215942,0.16441157460212708,0.3956851363182068,0.66190505027771
37,0.154963880777359,0.001,0.4012233018875122,0.6342215538024902,0.1650695949792862,0.3955398201942444,0.6575741767883301
38,0.1540704369544983,0.001,0.4012340307235718,0.6277287602424622,0.16294275224208832,0.39398330450057983,0.6522576212882996
39,0.1490824967622757,0.0005,0.3922846019268036,0.61496502161026,0.16379791498184204,0.3934081494808197,0.6517035365104675
40,0.1471712589263916,0.0005,0.3923521935939789,0.6093915700912476,0.16259902715682983,0.3914092183113098,0.6483384966850281
41,0.14554879069328308,0.0005,0.38815152645111084,0.6054702997207642,0.16148251295089722,0.38795480132102966,0.6474201083183289
42,0.14433664083480835,0.0005,0.3867993950843811,0.6019012928009033,0.16180025041103363,0.39067402482032776,0.6451658606529236
43,0.14599758386611938,0.0005,0.3928418755531311,0.60086989402771,0.15902000665664673,0.3830074965953827,0.6404895782470703
44,0.1425265669822693,0.0005,0.3830004632472992,0.5963291525840759,0.15988291800022125,0.3854488730430603,0.6428976655006409
45,0.14368368685245514,0.0005,0.3875519335269928,0.5943830013275146,0.1606619954109192,0.38711658120155334,0.6439576148986816
46,0.14102962613105774,0.0005,0.3842761516571045,0.586375892162323,0.1598813682794571,0.3853648900985718,0.6435018181800842
47,0.14073660969734192,0.0005,0.38343319296836853,0.590108335018158,0.16133232414722443,0.3881620764732361,0.6455183625221252
48,0.13882556557655334,0.0005,0.38157224655151367,0.5822391510009766,0.15990374982357025,0.38744765520095825,0.6419397592544556
49,0.13816727697849274,0.0005,0.3795386552810669,0.579155683517456,0.15984711050987244,0.3861921727657318,0.6428541541099548
50,0.13812968134880066,0.0005,0.38064369559288025,0.5792816281318665,0.1588360220193863,0.38374564051628113,0.6420453786849976
51,0.13617372512817383,0.0005,0.37822234630584717,0.5743840932846069,0.1594584584236145,0.3851684033870697,0.6427445411682129
52,0.13673047721385956,0.0005,0.3774733245372772,0.5761345028877258,0.15831874310970306,0.38461166620254517,0.6409832835197449
53,0.1353922039270401,0.0005,0.37694764137268066,0.569857656955719,0.15974760055541992,0.3859707713127136,0.6426172852516174
54,0.13529102504253387,0.0005,0.37753939628601074,0.5698904991149902,0.16431930661201477,0.3940054178237915,0.6556358337402344
55,0.13427963852882385,0.0005,0.3749830722808838,0.569749653339386,0.16103342175483704,0.38806602358818054,0.6468327641487122
56,0.1318441927433014,0.0005,0.37168779969215393,0.5604958534240723,0.16164830327033997,0.38959065079689026,0.648790717124939
57,0.1344400942325592,0.0005,0.3752174973487854,0.5653342008590698,0.16136161983013153,0.38963013887405396,0.6456372141838074
58,0.12984469532966614,0.0005,0.36919111013412476,0.5547723770141602,0.1653812825679779,0.39606747031211853,0.6579755544662476
59,0.12975752353668213,0.0005,0.3702070415019989,0.5537338256835938,0.16558100283145905,0.39401310682296753,0.6569620370864868
60,0.1278253197669983,0.00025,0.36527305841445923,0.5500680804252625,0.16260290145874023,0.38946250081062317,0.6500478386878967
61,0.12790188193321228,0.00025,0.36624467372894287,0.5492436289787292,0.16459929943084717,0.3921221196651459,0.6550184488296509
62,0.12452775985002518,0.00025,0.3625118136405945,0.542201578617096,0.16491290926933289,0.3910265564918518,0.6570555567741394
63,0.12451709061861038,0.00025,0.36096274852752686,0.5411345362663269,0.1636042594909668,0.3901681900024414,0.6540078520774841
64,0.12238534539937973,0.00025,0.3562341034412384,0.537354052066803,0.16244995594024658,0.3865237832069397,0.6511406898498535
65,0.12499017268419266,0.00025,0.3615241050720215,0.5446633696556091,0.16245393455028534,0.3885529339313507,0.6518179178237915
66,0.12386080622673035,0.00025,0.3597254157066345,0.5398450493812561,0.16597279906272888,0.3928672671318054,0.6597078442573547
67,0.12154313176870346,0.000125,0.35510432720184326,0.5345925092697144,0.16361801326274872,0.3901394307613373,0.6547479033470154
68,0.12324977666139603,0.000125,0.3599288761615753,0.536895751953125,0.16315817832946777,0.38852569460868835,0.6531891822814941
69,0.12162412703037262,0.000125,0.3563465178012848,0.533961832523346,0.16434694826602936,0.3892202079296112,0.655860424041748
70,0.11808367818593979,0.000125,0.3507421910762787,0.5252044200897217,0.16437532007694244,0.3895266652107239,0.6565676927566528
71,0.12235358357429504,0.000125,0.35745540261268616,0.5369845628738403,0.16594131290912628,0.39187824726104736,0.6601924300193787
72,0.12248492240905762,0.000125,0.3584635853767395,0.5346628427505493,0.16482104361057281,0.39135581254959106,0.6568644642829895
