epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8465374708175659,0.7806912660598755,0.02407849207520485,0.001,0.2837859094142914,0.33966365456581116,0.8286252617835999,0.8064303994178772,0.03186176344752312,0.04257049784064293,0.5902255773544312
1,0.8498051166534424,0.8325064778327942,0.02159659005701542,0.001,0.3276972770690918,0.4614512324333191,0.8634181022644043,0.8268799781799316,0.025845017284154892,0.04833733290433884,0.530075192451477
2,0.8506936430931091,0.8601194024085999,0.01994752511382103,0.001,0.34882187843322754,0.5496976375579834,0.8789077401161194,0.8149005770683289,0.023969467729330063,0.05310077592730522,0.5150375962257385
3,0.8546205163002014,0.8831369876861572,0.018411651253700256,0.001,0.3701065480709076,0.6234883069992065,0.8685969710350037,0.8237455487251282,0.024124639108777046,0.052146151661872864,0.5526315569877625
4,0.8603435754776001,0.9052260518074036,0.016650326550006866,0.0005,0.39445170760154724,0.7120181322097778,0.8424670696258545,0.8181126713752747,0.02652035839855671,0.04732510447502136,0.6052631735801697
5,0.8660570979118347,0.9171372652053833,0.01552314218133688,0.0005,0.4113456904888153,0.7529289722442627,0.8620527386665344,0.8123260140419006,0.025685014203190804,0.047861505299806595,0.530075192451477
6,0.8697928786277771,0.9260218739509583,0.014681849628686905,0.0005,0.4234175384044647,0.7950680255889893,0.8664783239364624,0.7995277643203735,0.025509804487228394,0.04785362258553505,0.5112782120704651
7,0.8765955567359924,0.9346820116043091,0.01375525165349245,0.0005,0.44086021184921265,0.8212395906448364,0.8578625321388245,0.794212818145752,0.02757827192544937,0.045859452337026596,0.5225563645362854
8,0.8844683766365051,0.9425642490386963,0.012887977994978428,0.00025,0.46125784516334534,0.8481670618057251,0.8857344388961792,0.787635326385498,0.027553243562579155,0.05258799344301224,0.4774436056613922
9,0.8877264261245728,0.94708251953125,0.012263859622180462,0.00025,0.47004157304763794,0.8649848699569702,0.8695386052131653,0.786859393119812,0.031046943739056587,0.049622438848018646,0.518796980381012
10,0.8901054859161377,0.9493011832237244,0.012019212357699871,0.00025,0.47635483741760254,0.8736772537231445,0.8727400898933411,0.7779520153999329,0.031326163560152054,0.051197052001953125,0.5225563645362854
11,0.8956374526023865,0.9533119797706604,0.011465683579444885,0.000125,0.49114835262298584,0.8886054158210754,0.8796139359474182,0.7784647345542908,0.03178786113858223,0.05166340619325638,0.49624061584472656
12,0.899115264415741,0.9557269215583801,0.011178155429661274,0.000125,0.500661313533783,0.8940854072570801,0.8843691349029541,0.7766561508178711,0.0327330119907856,0.051597051322460175,0.4736842215061188
