epoch,accuracy,auc_pr,auc_roc,loss,macro_f1,top2_acc,val_accuracy,val_auc_pr,val_auc_roc,val_loss,val_macro_f1,val_top2_acc
0,0.5767642855644226,0.6652742028236389,0.8659909963607788,0.6401634812355042,0.5740151405334473,0.7978000044822693,0.8170333504676819,0.8973869681358337,0.9705066680908203,0.3478345274925232,0.8173753023147583,0.9735333323478699
1,0.7737357020378113,0.8572059869766235,0.9575188159942627,0.37140265107154846,0.7758599519729614,0.9569643139839172,0.7423666715621948,0.836482048034668,0.9517263174057007,0.37422165274620056,0.7398902177810669,0.9522333145141602
2,0.8152428865432739,0.8928289413452148,0.9697567820549011,0.3144397437572479,0.8163236379623413,0.9734785556793213,0.8356666564941406,0.920735776424408,0.9774430990219116,0.28034260869026184,0.835868239402771,0.9795666933059692
3,0.8275285959243774,0.9043408036231995,0.9733011722564697,0.2956193685531616,0.8282470703125,0.9767000079154968,0.8172000050544739,0.9112315773963928,0.9749836921691895,0.2817217707633972,0.8166623115539551,0.9798333048820496
4,0.8334642648696899,0.911055862903595,0.9751862287521362,0.2846429646015167,0.8340333700180054,0.9789928793907166,0.8149666786193848,0.8984403610229492,0.9710902571678162,0.2950168251991272,0.8137809634208679,0.9747666716575623
5,0.8385999798774719,0.9162694215774536,0.9766765236854553,0.2752498686313629,0.8391345143318176,0.9803785681724548,0.8520333170890808,0.9355046153068542,0.9821358323097229,0.24915054440498352,0.8526620864868164,0.9876333475112915
6,0.8393642902374268,0.9176126718521118,0.9769141674041748,0.27165156602859497,0.8399221301078796,0.9804499745368958,0.8554333448410034,0.9339930415153503,0.9814819097518921,0.24996425211429596,0.8563192486763,0.983299970626831
7,0.8421357274055481,0.9198815226554871,0.9776147603988647,0.26661738753318787,0.8427249193191528,0.9813500046730042,0.8482666611671448,0.932538628578186,0.981530487537384,0.24875420331954956,0.8489019274711609,0.9883999824523926
8,0.8356214165687561,0.9167888760566711,0.9764871001243591,0.268984317779541,0.8363510370254517,0.9802643060684204,0.8482000231742859,0.9292552471160889,0.9803969860076904,0.25373730063438416,0.8473644256591797,0.9843666553497314
9,0.834685742855072,0.9139060974121094,0.975563645362854,0.2721458673477173,0.835433304309845,0.9788357019424438,0.845966637134552,0.9270928502082825,0.978742778301239,0.25865960121154785,0.8465720415115356,0.9798666834831238
10,0.8362500071525574,0.9187889695167542,0.9769055247306824,0.26591596007347107,0.8370224833488464,0.9807714223861694,0.843833327293396,0.9247475266456604,0.9780673384666443,0.2608385682106018,0.8442530632019043,0.9810000061988831
11,0.8393999934196472,0.918860137462616,0.9770091772079468,0.2648967206478119,0.840120792388916,0.98099285364151,0.8457666635513306,0.9288262724876404,0.9794151782989502,0.25523000955581665,0.8456161618232727,0.9809666872024536
12,0.8410785794258118,0.9208822846412659,0.977608323097229,0.262422114610672,0.8417915105819702,0.9817571640014648,0.8604666590690613,0.9420053362846375,0.9835997223854065,0.2362084835767746,0.8610746264457703,0.9872666597366333
13,0.8411071300506592,0.9215121865272522,0.9778375625610352,0.2612243890762329,0.841827392578125,0.9817357063293457,0.8410999774932861,0.9247013330459595,0.9791895747184753,0.25143441557884216,0.8396635055541992,0.9860000014305115
14,0.8398428559303284,0.9205585718154907,0.9775130748748779,0.2620854079723358,0.8406713604927063,0.982114315032959,0.7876999974250793,0.8843236565589905,0.9638599157333374,0.31355762481689453,0.7872378826141357,0.9643666744232178
15,0.8422642946243286,0.9220393896102905,0.9781233072280884,0.2598158121109009,0.8430736660957336,0.9824214577674866,0.8608333468437195,0.9443320631980896,0.9844648838043213,0.23084525763988495,0.8612586259841919,0.9897333383560181
16,0.8435500264167786,0.9233152270317078,0.9784606695175171,0.25794902443885803,0.8443236351013184,0.9832642674446106,0.8685666918754578,0.9443163871765137,0.9843522906303406,0.23384398221969604,0.8686960339546204,0.987500011920929
17,0.8427357077598572,0.9224627614021301,0.9782161712646484,0.2588769495487213,0.8434370160102844,0.9832714200019836,0.850266695022583,0.9273384809494019,0.978595495223999,0.25486963987350464,0.8520509600639343,0.9822999835014343
18,0.8407357335090637,0.9210430383682251,0.977609395980835,0.26149043440818787,0.8415223956108093,0.9816428422927856,0.8338333368301392,0.9230921268463135,0.9775139093399048,0.2596679925918579,0.8349609375,0.981333315372467
19,0.8407214283943176,0.9215513467788696,0.9778323173522949,0.2606544494628906,0.8415889739990234,0.9822214245796204,0.8575999736785889,0.9390703439712524,0.9825009107589722,0.24082466959953308,0.8573458790779114,0.9851666688919067
20,0.8400357365608215,0.9203004837036133,0.9773776531219482,0.26314637064933777,0.8407943844795227,0.9813356995582581,0.8699333071708679,0.9466378092765808,0.9853531718254089,0.22925491631031036,0.8707635998725891,0.9896000027656555
